ID,Title,Artist,Sheet,Champion,Style,Notes,Link
1,Ajde Jano,Motion Trio,yes,Shaunalynn,,,https://www.youtube.com/results?search_query=Motion+Trio+Ajde+Jano
2,Dilmano Dilbero,Charming Hostess,yes,Shaunalynn,,,https://www.youtube.com/results?search_query=Charming+Hostess+Dilmano+Dilbero
4,Hayloft,Mother Mother,no,Addy,,,https://www.youtube.com/results?search_query=Mother+Mother+Hayloft
5,Unify,Raya Brass Band,unknown,Jori,,,https://www.youtube.com/watch?v=lNiA0b02GYA
6,Sugar and Salt,Raya Brass Band,unknown,Jori,,,https://www.youtube.com/watch?v=44Qy7G3qylk
7,"Ogodô, Ano 2000",Tom Zé,unknown,Sean H,,,https://www.youtube.com/results?search_query=Tom+Zé+Ogodo+Ano+2000
8,Messe de Notre-Dame: III. Gloria,Machaut,unknown,Sean H,,,https://www.youtube.com/results?search_query=Machaut+Messe+de+Notre+Dame+Gloria
9,"Stani, Stani Ibar Vodo",Orkestar Salijevic,unknown,JR,,,https://www.youtube.com/results?search_query=Orkestar+Salijevic+Stani+Stani+Ibar+Vodo
10,Makedonsko Devojce,Toffi,unknown,Sean C,,,https://www.youtube.com/results?search_query=Makedonsko+Devojce+Macedonian+Song
11,Jeideidei,Michael Chaim Langer,unknown,Jori,,,https://www.youtube.com/results?search_query=Michael+Chaim+Langer+Jeideidei
12,Chernobyl,Di Naye Kapelye,unknown,Sean C,,,https://www.youtube.com/results?search_query=Di+Naye+Kapelye+Chernobyl
13,7:40,Di Naye Kapelye,unknown,Sean C,,,https://www.youtube.com/results?search_query=Di+Naye+Kapelye+7+40
14,First Class,from Kalank (Bollywood),unknown,Larry,,,https://www.youtube.com/results?search_query=First+Class+Kalank+Arijit+Singh
15,A Time Of Desire,Frank London's Klezmer Brass Allstars,unknown,Sean C,,,https://www.youtube.com/results?search_query=Frank+London+Klezmer+Brass+Allstars+Time+of+Desire
16,La Murga,Willie Colon & Hector Lavoe,unknown,Sarah,,,https://www.youtube.com/results?search_query=Willie+Colon+Hector+Lavoe+La+Murga
17,Pueblo Nuevo,Buena Vista Social Club,unknown,Sarah,,,https://www.youtube.com/results?search_query=Buena+Vista+Social+Club+Pueblo+Nuevo
18,Ghoongte Mein Chanda,from Koyla (Bollywood),no,Michael,,,https://m.youtube.com/watch?v=Cu-_i6oFPtY
19,Joote De Do Paise Le Lo,from Hum Aapke Hain Kaun (Bollywood),unknown,Dan,,,https://www.youtube.com/results?search_query=Joote+De+Do+Paise+Le+Lo+Hum+Aapke+Hain+Kaun
20,Man Chali,Jaipur Kawa Brass Band,unknown,Chris,,,https://www.youtube.com/results?search_query=Jaipur+Kawa+Brass+Band+Man+Chali
21,The Washing Bear,A Hawk and a Hacksaw,unknown,Johanna,,,https://www.youtube.com/results?search_query=A+Hawk+and+a+Hacksaw+The+Washing+Bear
22,Pinball Number Count,The Pointer Sisters (Sesame Street),unknown,Sean H,,,https://www.youtube.com/results?search_query=Sesame+Street+Pinball+Number+Count
23,A La Turk,Taraf de Haïdouks,unknown,Sean C,,,https://www.youtube.com/results?search_query=Taraf+de+Haidouks+A+La+Turk
24,Tune Maari Entriyaan,from Gunday (Bollywood),unknown,Larry,,,https://www.youtube.com/results?search_query=Tune+Maari+Entriyaan+Gunday
25,Fischia il Vento,Traditional,unknown,,,,https://www.youtube.com/results?search_query=Fischia+il+Vento
26,Anadolou Cocek,Mucca Pazza,unknown,Kaleb,,,https://youtu.be/Nv__tf-j-zQ?si=yhN0H7SToNumJp-t
27,Baraat to Nowhere,Red Baraat,unknown,Kaleb,,,https://www.youtube.com/results?search_query=Red+Baraat+Baraat+to+Nowhere
28,Simpatico,Vandermark 5,no,Michael,,,https://m.youtube.com/watch?v=kElgfnCT9LA
29,Valle E Gajdës - Dance,A. L. Lloyd,unknown,,,,https://www.youtube.com/results?search_query=A+L+Lloyd+Valle+E+Gajdes+Dance
30,Never Let You Go,Third Eye Blind,unknown,,,,https://youtu.be/KIuLB8saO1g?si=APtnciJeLsNcbuEG
